ENLIGHTEN Version,4.1.6
Measurement ID,20241210-124759-813875-WP-02071
Serial Number,WP-02071
Model,WP-785X-F13-R-ILC
Detector,S16011-1106
Label,enlighten-acetonitrile_ctrl_20241210-124759-813875-WP-02071
Declared Match,
Declared Score,0
Scan Averaging,2
Boxcar,0
Technique,Raman
Baseline Correction Algo,
ROI Pixel Start,10
ROI Pixel End,2047
ROI Vertical Pixel Start,0
ROI Vertical Pixel End,63
CCD C4,1.0143461591505254e-12
Slit Width,25
Cropped,True
Interpolated,False
Wavenumber Correction,0
Raman Intensity Corrected,False
Deconvolved,False
Region,
High Gain Mode,False
Laser Power mW,100.0
Electrical Dark Correction,False
Battery %,
Device ID,<DeviceID USB USB:0x24aa:0x1000:0:1>
FW Version,10.0.0.10
FPGA Version,035-001
Prefix,enlighten
Suffix,
Preset,
Session Count,7244
Plugin Name,
Integration Time,1000
Timestamp,2024-12-10 12:47:59.813875
Note,
Temperature,10.044919776654524
CCD C0,799.8416748046875
CCD C1,0.15680807828903198
CCD C2,1.0990047485393006e-05
CCD C3,-9.785007470952678e-09
CCD Offset,0
CCD Gain,1.9
CCD Offset Odd,0
CCD Gain Odd,1.9
Laser Wavelength,785.041
Laser Enable,True
Laser Power %,35.88870037949164
Laser Temperature,-95.6635622537485
Pixel Count,2048

Pixel,Wavelength,Wavenumber,Processed
185,829.17,677.88,-679.00
186,829.33,680.21,-697.50
187,829.49,682.53,-646.00
188,829.65,684.86,-608.00
189,829.81,687.18,-633.00
190,829.97,689.50,-649.50
191,830.13,691.83,-532.00
192,830.29,694.15,-633.50
193,830.45,696.47,-609.50
194,830.61,698.79,-669.00
195,830.77,701.11,-723.00
196,830.93,703.42,-739.50
197,831.09,705.74,-608.50
198,831.25,708.06,-677.50
199,831.41,710.37,-644.00
200,831.57,712.69,-583.50
201,831.73,715.00,-580.00
202,831.89,717.32,-568.00
203,832.05,719.63,-537.00
204,832.21,721.94,-572.50
205,832.37,724.25,-532.50
206,832.53,726.56,-586.00
207,832.69,728.87,-611.00
208,832.85,731.18,-476.00
209,833.01,733.49,-446.00
210,833.17,735.80,-319.50
211,833.33,738.11,-257.50
212,833.49,740.41,-232.00
213,833.65,742.72,-202.00
214,833.81,745.02,57.50
215,833.97,747.33,122.00
216,834.13,749.63,164.50
217,834.29,751.93,201.00
218,834.45,754.23,131.50
219,834.61,756.53,-63.00
220,834.77,758.83,-32.50
221,834.93,761.13,-121.00
222,835.09,763.43,-210.00
223,835.25,765.73,-311.00
224,835.41,768.03,-357.00
225,835.57,770.32,-395.50
226,835.73,772.62,-412.00
227,835.89,774.92,-357.50
228,836.05,777.21,-494.50
229,836.21,779.50,-448.00
230,836.37,781.80,-523.50
231,836.53,784.09,-456.00
232,836.69,786.38,-461.50
233,836.85,788.67,-557.50
234,837.01,790.96,-484.50
235,837.17,793.25,-531.50
236,837.34,795.54,-433.00
237,837.50,797.82,-475.00
238,837.66,800.11,-478.00
239,837.82,802.40,-477.00
240,837.98,804.68,-588.50
241,838.14,806.97,-568.00
242,838.30,809.25,-652.00
243,838.46,811.53,-483.00
244,838.62,813.82,-539.50
245,838.78,816.10,-485.00
246,838.94,818.38,-529.00
247,839.10,820.66,-547.00
248,839.26,822.94,-537.00
249,839.42,825.22,-635.50
250,839.58,827.49,-525.00
251,839.74,829.77,-506.50
252,839.90,832.05,-459.00
253,840.06,834.32,-506.50
254,840.22,836.60,-517.00
255,840.38,838.87,-448.50
256,840.54,841.14,-511.50
257,840.71,843.42,-498.50
258,840.87,845.69,-615.50
259,841.03,847.96,-534.00
260,841.19,850.23,-593.50
261,841.35,852.50,-544.50
262,841.51,854.77,-534.50
263,841.67,857.04,-551.50
264,841.83,859.30,-579.00
265,841.99,861.57,-529.50
266,842.15,863.84,-550.50
267,842.31,866.10,-558.50
268,842.47,868.36,-476.00
269,842.63,870.63,-515.00
270,842.79,872.89,-525.00
271,842.95,875.15,-432.00
272,843.12,877.41,-509.00
273,843.28,879.67,-498.50
274,843.44,881.93,-433.00
275,843.60,884.19,-451.50
276,843.76,886.45,-353.00
277,843.92,888.71,-419.50
278,844.08,890.96,-381.50
279,844.24,893.22,-341.00
280,844.40,895.47,-235.50
281,844.56,897.73,-244.50
282,844.72,899.98,20.00
283,844.88,902.23,166.50
284,845.04,904.49,372.00
285,845.20,906.74,632.50
286,845.37,908.99,1139.50
287,845.53,911.24,2187.00
288,845.69,913.49,4170.00
289,845.85,915.73,8440.00
290,846.01,917.98,14774.50
291,846.17,920.23,19085.50
292,846.33,922.47,18181.50
293,846.49,924.72,13609.00
294,846.65,926.96,8899.00
295,846.81,929.20,5284.50
296,846.97,931.45,2848.00
297,847.13,933.69,1430.00
298,847.30,935.93,628.50
299,847.46,938.17,232.00
300,847.62,940.41,-10.50
301,847.78,942.65,-114.50
302,847.94,944.89,-276.50
303,848.10,947.12,-266.50
304,848.26,949.36,-442.00
305,848.42,951.60,-308.50
306,848.58,953.83,-372.50
307,848.74,956.06,-445.50
308,848.90,958.30,-391.00
309,849.07,960.53,-408.00
310,849.23,962.76,-448.00
311,849.39,964.99,-451.00
312,849.55,967.22,-422.00
313,849.71,969.45,-425.00
314,849.87,971.68,-577.00
315,850.03,973.91,-448.50
316,850.19,976.14,-439.00
317,850.35,978.36,-485.00
318,850.51,980.59,-516.50
319,850.67,982.81,-494.50
320,850.84,985.04,-406.50
321,851.00,987.26,-551.00
322,851.16,989.48,-600.00
323,851.32,991.70,-534.50
324,851.48,993.92,-461.00
325,851.64,996.15,-413.50
326,851.80,998.36,-541.50
327,851.96,1000.58,-599.00
328,852.12,1002.80,-555.50
329,852.28,1005.02,-461.00
330,852.45,1007.23,-378.50
331,852.61,1009.45,-445.50
332,852.77,1011.66,-479.00
333,852.93,1013.88,-369.00
334,853.09,1016.09,-385.00
335,853.25,1018.30,-379.00
336,853.41,1020.51,-360.00
337,853.57,1022.72,-415.50
338,853.73,1024.93,-366.00
339,853.89,1027.14,-279.50
340,854.06,1029.35,-319.50
341,854.22,1031.56,-257.50
342,854.38,1033.77,-237.50
343,854.54,1035.97,-210.00
344,854.70,1038.18,-193.00
345,854.86,1040.38,-164.00
346,855.02,1042.59,-191.50
347,855.18,1044.79,-183.50
348,855.34,1046.99,-180.50
349,855.51,1049.19,-246.00
350,855.67,1051.39,-281.50
351,855.83,1053.59,-270.50
352,855.99,1055.79,-410.50
353,856.15,1057.99,-346.50
354,856.31,1060.19,-341.00
355,856.47,1062.38,-312.50
356,856.63,1064.58,-374.00
357,856.79,1066.77,-338.00
358,856.96,1068.97,-393.50
359,857.12,1071.16,-399.50
360,857.28,1073.35,-377.00
361,857.44,1075.54,-413.50
362,857.60,1077.74,-462.00
363,857.76,1079.93,-379.00
364,857.92,1082.11,-449.00
365,858.08,1084.30,-423.50
366,858.24,1086.49,-371.50
367,858.41,1088.68,-398.00
368,858.57,1090.86,-447.50
369,858.73,1093.05,-532.00
370,858.89,1095.23,-436.50
371,859.05,1097.42,-508.50
372,859.21,1099.60,-445.00
373,859.37,1101.78,-416.00
374,859.53,1103.96,-548.50
375,859.69,1106.15,-497.00
